Groupement;Origine (telle que mentionnée dans la norme EN 350:2016);Tableau(x);Type d'essences;Plages de rareté attribuées
Europe;Europe;B.1, B.2;Résineux, Feuillus tempérés;Commune à peu commune
;Cultivé en Europe;B.1, B.2, B.3;Résineux, Feuillus tropicaux;Commune à peu commune
;Cultivé au Royaume-Uni;B.1;Résineux;Commune à peu commune
;Cultivé en Afrique;B.3;Feuillus tropicaux;Commune à peu commune
;Cultivé en Italie;B.2;Feuillus tempérés;Commune à peu commune
;Espagne (Galice);B.2;Feuillus tempérés (variante locale);Commune à peu commune
;Italie;B.2;Feuillus tempérés (variante locale);Commune à peu commune
Amériques du nord et centrale;Amérique du Nord;B.1, B.2;Résineux, Feuillus tempérés;Peu commune à rare
;Amérique centrale;B.1, B.3;Résineux, Feuillus tropicaux;Peu commune à rare
;Amérique (sans précision);B.1;Résineux;Peu commune à rare
;Canada;B.2;Feuillus tempérés (B.4);Peu commune à rare
;Cultivé en Amérique centrale et du Nord;B.1;Résineux;Peu commune à rare
Eurasie et proche orient;Sibérie / Russie;B.1;Résineux;Commune à rare
;Israël;B.2;Feuillus tempérés;Peu commune à rare
Australasie;Asie;B.1;Résineux;Peu commune à rare
;Asie de l'Est;B.1;Résineux;Peu commune à rare
;Asie du Sud-Est;B.3;Feuillus tropicaux;Peu commune à rare
;Australasie;B.3;Feuillus tropicaux;Peu commune à rare
;Australie;B.2, B.3;Feuillus tempérés, Feuillus tropicaux;Peu commune à rare
;Nouvelle-Zélande;B.1, B.2;Résineux, Feuillus tempérés;Peu commune à rare
;Malaisie;B.1;Résineux;Peu commune à rare
;Papouasie-Nouvelle-Guinée;B.1;Résineux;Peu commune à rare
;Japon;B.1;Résineux;Peu commune à rare
Amériques du sud et régions australes;Argentine;B.2;Feuillus tempérés (variante locale);Peu commune à rare
;Amérique du Sud;B.1, B.3;Résineux, Feuillus tropicaux;Peu commune à rare
;Régions tropicales (sans précision);B.3;Feuillus tropicaux;Peu commune à rare
;Brésil;B.1;Résineux;Peu commune à rare
;Cultivé au Brésil, Chili, Australie, Nouvelle-Zélande, Afrique du Sud;B.1;Résineux;Peu commune à rare
Afrique;Île de la Réunion;B.1;Résineux (variante locale);Peu commune à rare
;Afrique (sans précision);B.1;Résineux;Peu commune à rare
;Afrique de l'Est;B.3;Feuillus tropicaux;Peu commune à rare
;Afrique de l'Est (Mozambique);B.3;Feuillus tropicaux;Peu commune à rare
;Afrique de l'Ouest;B.3;Feuillus tropicaux;Peu commune à rare
;Afrique de l'Ouest et de l'Est;B.3;Feuillus tropicaux;Peu commune à rare
;Afrique / Afrique de l'Ouest;B.3;Feuillus tropicaux;Peu commune à rare
;Afrique du Nord;B.2;Feuillus tempérés;Peu commune à rare
;Afrique du Sud;B.3;Feuillus tropicaux;Peu commune à rare
