departement,code_ancien_canton,nom_ancien_canton,code_nouveau_canton,nom_nouveau_canton,nb_communes
01,0101,Ambérieu-en-Bugey,010101,Ambérieu-en-Bugey,8
01,0102,Bâgé-le-Châtel,010117,Replonges,8
01,0102,Bâgé-le-Châtel,010123,Vonnas,1
01,0103,Bellegarde-sur-Valserine,010103,Valserhône,10
01,0104,Belley,010104,Belley,21
01,0106,Brénod,010110,Plateau d’Hauteville,9
01,0107,Ceyzériat,010118,Saint-Étienne-du-Bois,9
01,0107,Ceyzériat,010107,Ceyzériat,2
01,0108,Chalamont,010107,Ceyzériat,8
01,0109,Champagne-en-Valromey,010110,Plateau d’Hauteville,6
01,0110,Châtillon-sur-Chalaronne,010108,Châtillon-sur-Chalaronne,10
01,0110,Châtillon-sur-Chalaronne,010123,Vonnas,6
01,0111,Coligny,010118,Saint-Étienne-du-Bois,9
01,0112,Collonges,010120,Thoiry,8
01,0112,Collonges,010103,Valserhône,1
01,0113,Ferney-Voltaire,010119,Saint-Genis-Pouilly,4
01,0113,Ferney-Voltaire,010109,Gex,2
01,0113,Ferney-Voltaire,010120,Thoiry,2
01,0114,Gex,010120,Thoiry,6
01,0114,Gex,010109,Gex,5
01,0115,Hauteville-Lompnes,010110,Plateau d’Hauteville,4
01,0116,Izernore,010116,Pont-d'Ain,10
01,0117,Lagnieu,010111,Lagnieu,11
01,0117,Lagnieu,010101,Ambérieu-en-Bugey,2
01,0118,Lhuis,010111,Lagnieu,10
01,0118,Lhuis,010104,Belley,1
01,0119,Meximieux,010112,Meximieux,8
01,0119,Meximieux,010111,Lagnieu,4
01,0120,Montluel,010112,Meximieux,7
01,0120,Montluel,010113,Miribel,2
01,0121,Montrevel-en-Bresse,010102,Attignat,13
01,0122,Nantua,010114,Nantua,11
01,0123,Oyonnax-Nord,010114,Nantua,2
01,0123,Oyonnax-Nord,010115,Oyonnax,1
01,0123,Oyonnax-Nord,010116,Pont-d'Ain,1
01,0124,Poncin,010116,Pont-d'Ain,9
01,0125,Pont-d'Ain,010107,Ceyzériat,7
01,0125,Pont-d'Ain,010116,Pont-d'Ain,4
01,0126,Pont-de-Vaux,010117,Replonges,12
01,0127,Pont-de-Veyle,010123,Vonnas,12
01,0128,Saint-Rambert-en-Bugey,010101,Ambérieu-en-Bugey,8
01,0128,Saint-Rambert-en-Bugey,010110,Plateau d’Hauteville,3
01,0129,Saint-Trivier-de-Courtes,010117,Replonges,11
01,0129,Saint-Trivier-de-Courtes,010118,Saint-Étienne-du-Bois,1
01,0130,Saint-Trivier-sur-Moignans,010122,Villars-les-Dombes,13
01,0131,Seyssel,010110,Plateau d’Hauteville,4
01,0131,Seyssel,010103,Valserhône,1
01,0132,Thoissey,010108,Châtillon-sur-Chalaronne,12
01,0133,Treffort-Cuisiat,010118,Saint-Étienne-du-Bois,7
01,0134,Trévoux,010121,Trévoux,6
01,0135,Villars-les-Dombes,010122,Villars-les-Dombes,6
01,0135,Villars-les-Dombes,010108,Châtillon-sur-Chalaronne,4
01,0136,Virieu-le-Grand,010104,Belley,11
01,0136,Virieu-le-Grand,010110,Plateau d’Hauteville,1
01,0139,Péronnas,010107,Ceyzériat,5
01,0139,Péronnas,010106,Bourg-en-Bresse-2,2
01,0139,Péronnas,010102,Attignat,1
01,0140,Miribel,010113,Miribel,5
01,0141,Oyonnax-Sud,010114,Nantua,4
01,0142,Reyrieux,010121,Trévoux,6
01,0142,Reyrieux,010122,Villars-les-Dombes,6
01,0142,Reyrieux,010113,Miribel,1
01,0143,Viriat,010102,Attignat,4
01,0143,Viriat,010105,Bourg-en-Bresse-1,1
01,0143,Viriat,010106,Bourg-en-Bresse-2,1
01,0198,,010115,Oyonnax,1
