Région d'origine;Essence;Lien URL fiche Tropix;Année de publication
Afrique;ABURA;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ABURA%202023.pdf;2023
Afrique;ACAJOU CAILCÉDRAT;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ACAJOU%20CAILC%C3%89DRAT%202023.pdf;2023
Afrique;ACAJOU D'AFRIQUE;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ACAJOU%20D%27AFRIQUE%202023.pdf;2023
Afrique;AFRORMOSIA;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/AFRORMOSIA%202023.pdf;2023
Afrique;AIÉLÉ;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/AI%C3%89L%C3%89%202023.pdf;2023
Afrique;AKO;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/AKO%202023.pdf;2023
Afrique;AKOSSIKA;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/AKOSSIKA%202023.pdf;2023
Afrique;ALEP;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ALEP%202023.pdf;2023
Afrique;ALUMBI;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ALUMBI%202023.pdf;2023
Afrique;ANANTA;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ANANTA%202024.pdf;2024
Afrique;ANDOK;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ANDOK%202023.pdf;2023
Afrique;ANDOUNG;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ANDOUNG%202023.pdf;2023
Afrique;ANGOA;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ANGOA%202023.pdf;2023
Afrique;ANGUEUK;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ANGUEUK%202023.pdf;2023
Afrique;ANIÉGRÉ;https://tropix.cirad.fr/FichiersComplementaires/FR/Afrique/ANI%C3%89GR%C3%89%202023.pdf;2023
