;;;;Échelle chiffrée;;;Échelle lettrée;;;Criticité;Alerte;Vecteurs d’orientation;;;;;;;;;;;;;;;;;;;;Facteurs de rejet d’orientation;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Combustion;;;Recyclage;;;Réutilisation;;;;;;;Réemploi;;;;;;;Combustion;;;;;;;Recyclage;;;;;Réutilisation;;;Réemploi;;;;
Rang;Familles de critères;Critères;Valeurs;Note Fort;Note Moyen;Note Faible;Note Fort;Note Moyen;Note Faible;;;Termes;Score min;Score min;Termes;Score min;Score min;Termes;Score max;Score med;Score min;Score max;Score med;Score min;Termes;Score max;Score med;Score min;Score max;Score med;Score min;Termes;Score max;Score med;Score min;Score max;Score med;Score min;Termes;Score max;Score min;Score max;Score min;Termes;Score min;Score min;Termes;Score max;Score min;Score max;Score min
1;Dénaturation;Contamination;Mécanique;-10;1;3;E;C;A;Oui;Oui;Forte;-10;E;Aucun;-;-;Moyenne à faible;3;-;-3;A;-;D;Moyenne à faible;3;-;-3;A;-;D;Aucun;-;-;-;-;-;-;Forte;-;-10;-;E;Forte;-10;E;Forte;-;-10;-;E
2;Dégradation biologique;Expansion;Écologique;-10;-3;3;E;D;A;Oui;Oui;Forte;-10;E;Aucun;-;-;Moyenne à faible;3;-;-3;A;-;D;Moyenne à faible;3;-;-3;A;-;D;Aucun;-;-;-;-;-;-;Forte;-;-10;-;E;Forte;-10;E;Forte;-;-10;-;E
3;Dégradation biologique;Intégrité biologique;Mécanique;3;1;-10;A;C;E;Oui;Oui;Aucun;-;-;Aucun;-;-;Forte à moyenne;3;-;1;A;-;C;Forte;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Faible;-;-10;-;E;Aucun;-;-;Faible;-;-10;-;E
4;Dégradation mécanique;Intégrité mécanique;Mécanique;3;-3;-10;A;D;E;Oui;Oui;Aucun;-;-;Faible;-10;E;Forte à moyenne;3;-;-3;A;-;D;Forte à moyenne;3;-;-3;A;-;D;Forte à moyenne;3;-;1;A;-;C;Forte à moyenne;3;1;A;C;Faible;-10;E;Faible;-;-10;-;E
5;Traces;Altération;Mécanique;-10;1;3;D;C;A;Oui;Oui;Aucun;-;-;Forte;-10;E;Moyenne à faible;3;-;1;A;-;C;Moyenne à faible;3;-;-3;A;-;D;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte;-;-10;-;E
6;Dégradation biologique;Exposition biologique;Historique;-3;1;3;D;C;A;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;1;-3;A;C;D;Moyenne à faible;3;-;1;A;-;C;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte;-;-3;-;D
7;Dégradation biologique;Purge biologique;Économique;-3;1;3;D;C;A;Non;Oui;Aucun;-;-;Aucun;-;-;Forte à faible;3;1;-3;A;C;D;Faible;3;-;-;A;-;-;Aucun;-;-;-;-;-;-;Aucun;-;-;-;-;Aucun;-;-;Forte à moyenne;1;-3;C;D
